Sample Date,Address,1st Draw,2/3 Min,5 Min,Max,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Total Building Square Feet,Multi Property Indicator,Age,Use,Multi-Family Indicator,"Condition, Desirability and Utility",Near Major Road,Location Factor,Garage indicator,Neigborhood Code (mapping),Town and Neighborhood,property_city,property_zip,longitude,latitude,township,township_name,nbhd,tract_geoid,tract_pop,tract_white_perc,commissioner_dist,reps_dist,senate_dist,ward,school_elem_district
1/19/2019,19XX W ERIE ST,6.3,5,3.0,6.3,17072080350000.0,203.0,120.0,2928.0,77.0,1.0,0.0,2.0,1.0,5.0,3.0,1.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,1050.0,2.0,2.0,0.0,99550.0,340200.0,-87.6755816824424,41.8934531746744,,0.0,128.0,1.0,,,0.0,1.98151901066061,1.0,120.0,77120.0,CHICAGO,60622-5521,-87.6755816824424,41.89345317467701,77.0,West Chicago,120.0,17031243100.0,2044.0,0.673679060665362,2nd,4.0,2.0,1.0,TALCOTT
8/15/2019,47XX W GLADYS AVE,1.1,2.6,2.0,2.6,16151160070000.0,211.0,102.0,3720.0,77.0,2.0,2.0,2.0,2.0,6.0,4.0,1.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,2378.0,2.0,2.0,0.0,43710.0,107280.0,-87.7443641764801,41.8756652783894,,0.0,109.0,2.0,211.0,,0.0,0.499533669848406,1.0,102.0,77102.0,CHICAGO,60644-5764,-87.74436417648005,41.875665278392034,77.0,West Chicago,102.0,17031252202.0,4653.0,0.012465076294864,2nd,10.0,5.0,28.0,LELAND
7/11/2018,44XX N MALDEN ST,0.5,0.5,0.5,0.5,14171230301004.0,299.0,50.0,8850.0,73.0,,,,,,,,,,,,,,3.0,,,,,,61710.0,395080.0,-87.6627358903628,41.9623494375177,,0.0,106.0,1.0,,,0.0,1.70694318720746,,50.0,7350.0,CHICAGO,60640-6287,-87.6627358903628,41.96234943752037,73.0,Lake View,50.0,17031031700.0,6691.0,0.557166342848603,10th,13.0,7.0,46.0,COURTENAY
11/14/2022,69XX S VERNON AVE,,,,,20224140250000.0,211.0,30.0,6200.0,70.0,2.0,2.0,1.0,1.0,9.0,5.0,1.0,3.0,2.0,,2.0,0.0,0.0,3.0,0.0,1836.0,2.0,2.0,0.0,77500.0,77350.0,-87.6144679405533,41.7685173262952,,0.0,130.0,2.0,211.0,,0.0,0.456828254730621,0.0,30.0,7030.0,CHICAGO,60637-4622,-87.61446794055325,41.76851732629774,70.0,Hyde Park,30.0,17031690500.0,624.0,0.0,3rd,32.0,16.0,6.0,PARK MANOR
12/3/2019,45XX N LOWELL AVE,3.3,12,1.7,12.0,13151240240000.0,203.0,71.0,4260.0,71.0,1.0,0.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,,2.0,0.0,0.0,3.0,0.0,1224.0,2.0,2.0,0.0,57510.0,235880.0,-87.7374705331899,41.9634665070999,,0.0,100.0,1.0,,,0.0,1.17839060712218,0.0,71.0,7171.0,CHICAGO,60630-4106,-87.73747053318985,41.963466507102495,71.0,Jefferson,71.0,17031160200.0,3002.0,0.633577614923384,12th,15.0,8.0,39.0,BELDING
3/17/2017,66XX N BOSWORTH AVE,,,,,11323080210000.0,205.0,31.0,4960.0,75.0,2.0,0.0,4.0,1.0,8.0,4.0,3.0,1.0,2.0,,2.0,3.0,1.0,3.0,0.0,2124.0,2.0,2.0,0.0,71920.0,490400.0,-87.6696681621731,42.0032826013317,,0.0,100.0,1.0,,,0.0,0.741192964916108,1.0,31.0,7531.0,CHICAGO,60626-4224,-87.66966816217308,42.00328260133438,75.0,Rogers Park,31.0,17031830600.0,4861.0,0.340464924912569,10th,14.0,7.0,49.0,KILMER
4/23/2023,83XX S ELIZABETH ST ,28.0,9.1,3.3,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2019,21XX W HOWLAND AVE,4.6,1.6,1.2,4.6,25061040060000.0,206.0,271.0,6732.0,72.0,2.0,0.0,2.0,5.0,7.0,4.0,1.0,3.0,2.0,,2.0,1.0,2.0,3.0,0.0,2404.0,2.0,2.0,0.0,67320.0,322140.0,-87.6756642498864,41.7334256593458,,0.0,90.0,1.0,,,0.0,0.577011313377298,1.0,271.0,72271.0,CHICAGO,60643-5930,-87.67566424988637,41.73342565934836,72.0,Lake,271.0,17031720100.0,3409.0,0.586975652684072,11th,36.0,18.0,19.0,KELLOGG
6/7/2021,19XX N KEDZIE AVE,0.5,0.5,1.1,1.1,13363010020000.0,211.0,30.0,3150.0,77.0,2.0,3.0,1.0,1.0,8.0,4.0,1.0,1.0,2.0,,2.0,3.0,1.0,1.0,0.0,2590.0,2.0,2.0,0.0,80320.0,417500.0,-87.7065321561064,41.9163210997795,,0.0,130.0,2.0,211.0,,1.0,1.6790345287296,1.0,30.0,7730.0,CHICAGO,60647-3723,-87.70653215610639,41.91632109978208,77.0,West Chicago,30.0,17031222600.0,1573.0,0.567069294342022,8th,4.0,2.0,1.0,YATES
5/30/2016,113XX S KEDZIE AVE,5.5,11,3.7,11.0,24232120840000.0,234.0,423.0,5000.0,72.0,4.0,0.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,,2.0,1.0,1.0,3.0,0.0,1272.0,2.0,2.0,0.0,47500.0,190040.0,-87.7010308823301,41.6878198820448,,0.0,50.0,1.0,,,1.0,0.630631283270375,1.0,423.0,72423.0,CHICAGO,60655-2316,-87.70103088233009,41.68781988204724,72.0,Lake,423.0,17031740400.0,4552.0,0.765817223198594,11th,35.0,18.0,19.0,CASSELL
