Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw
11/29/2019,37XX N PLAINFIELD AVE,7.98,8.95,8.77,9.81,23.10,79.00,64.40,49.00,38.10,37.90
9/9/2019,72XX S TALMAN AVE,7.98,8.26,11.00,11.70,10.80,11.30,11.60,10.30,10.20,10.90
6/13/2019,20XX W ADDISON ,7.97,23.40,33.70,43.40,43.20,44.90,46.20,48.10,46.20,41.30
9/20/2021,33XX N PLAINFIELD AVE,7.97,10.30,17.40,25.10,22.60,21.20,19.50,19.90,20.00,21.40
11/4/2016,17XX N RUTHERFORD AVE****,7.96,8.49,9.65,11.70,15.20,18.80,23.60,34.40,38.60,38.60
10/18/2023,74XX S UNION AVE,7.96,4.14,4.74,4.59,4.54,4.53,4.79,4.96,4.02,4.11
3/25/2017,21XX N HUDSON AVE,7.95,6.55,16.50,5.51,5.24,5.04,5.06,4.96,4.96,5.02
9/15/2016,23XX W 110TH ST,7.95,8.13,8.32,8.82,8.91,9.24,19.60,27.90,28.30,26.00
8/16/2021,52XX N SAWYER AVE,7.94,9.02,18.00,26.60,32.00,28.90,25.60,25.90,26.50,24.80
8/20/2021,132XX S AVENUE M ,7.93,6.88,4.12,4.35,13.70,17.00,14.80,13.80,13.40,12.50
12/10/2021,5XX W 38TH ST,7.93,11.60,12.20,12.00,12.80,12.40,10.10,5.80,5.27,5.06
12/7/2019,31XX N RICHMOND ST,7.92,10.10,10.80,11.70,12.50,13.90,16.70,19.70,20.20,19.70
10/5/2016,107XX S SPAULDING AVE,7.91,7.79,7.05,9.33,9.54,12.10,12.40,12.30,10.80,9.95
8/14/2019,16XX W BERWYN ,7.90,9.98,12.50,18.90,23.00,21.10,15.10,12.60,16.20,12.90
2/7/2022,40XX N KEYSTONE AVE,7.90,7.70,8.30,8.50,8.90,9.80,9.50,9.00,8.60,8.10
