Date,Address,Draw1,Draw2,Draw3,Max,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Total Building Square Feet,Multi Property Indicator,Age,Use,Multi-Family Indicator,"Condition, Desirability and Utility",Near Major Road,Location Factor,Garage indicator,Neigborhood Code (mapping),Town and Neighborhood,property_city,property_zip,longitude,latitude,township,township_name,nbhd,tract_geoid,tract_pop,tract_white_perc,commissioner_dist,reps_dist,senate_dist,ward,school_elem_district
1/13/2022,24XX W TAYLOR ST ,8.5,230,13,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2020,128XX S UNION AVE,220,7.9,1.8,220,2.53311E+13,202,345,3690,72,1,0,2,1,4,2,1,1,2,,2,2,1,3,0,840,2,2,0,20290,55640,-87.6385804,41.66029076,,0,69,1,,,0,0.202095207,1,345,72345,CHICAGO,60628-7462,-87.6385804,41.66029076,72,Lake,345,17031530503,5973,0.001506781,5th,28,14,9,"BROWN, R"
8/11/2016,33XX W 110TH ST,210,3.7,4.8,210,2.41442E+13,202,423,3750,72,1,0,1,1,6,3,1,1,2,,2,3,1,3,0,968,2,2,0,35620,173770,-87.70414505,41.69307948,,0,89,1,,,0,0.625394596,1,423,72423,CHICAGO,60655-2712,-87.70414505,41.69307948,72,Lake,423,17031740300,4947,0.865170811,11th,35,18,19,MOUNT GREENWOOD
2/21/2019,97XX S WINCHESTER AVE,210,4.2,9.1,210,2.50721E+13,205,271,8357,72,2,0,2,1,6,4,1,3,2,,2,3,1,3,0,1916,2,2,0,83570,304920,-87.67016737,41.71663061,,0,82,1,,,0,0.566233423,1,271,72271,CHICAGO,60643-1615,-87.67016737,41.71663061,72,Lake,271,17031720200,4047,0.390412651,11th,35,18,19,SUTHERLAND
7/29/2021,13XX N CENTRAL AVE ,210,5.1,2.8,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2016,11XX W GEORGE ST*,206,6.51,6.31,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2019,82XX S PEORIA ST,200,6.5,3.5,200,2.03223E+13,211,222,4375,72,2,0,2,1,7,4,1,3,2,,2,3,2,3,0,2658,2,2,0,35000,71140,-87.64664485,41.74460623,,0,97,2,211,,0,0.451698593,1,222,72222,CHICAGO,60620-3149,-87.64664485,41.74460623,72,Lake,222,17031710800,4741,0.000843704,3rd,31,16,21,GRESHAM
12/1/2018,23XX S MARSHALL BLVD,200,5.4,4.2,200,1.62511E+13,211,115,2500,77,2,3,2,2,12,5,1,2,2,,2,0,0,1,14,3226,2,2,0,29370,169120,-87.69964394,41.84880826,,0,115,2,211,,0,0.611676315,0,115,77115,CHICAGO,60623-3787,-87.69964394,41.84880826,77,West Chicago,115,17031301100,2423,0.041683863,7th,21,11,12,SPRY
11/14/2019,73XX S MARSHFIELD AVE,190,1.3,1.1,190,2.03022E+13,203,121,4687,72,1,0,1,1,11,5,1,3,2,,2,1,1,1,0,1152,2,2,0,30460,48500,-87.6652607,41.76019146,,0,95,1,,,0,0.48290826,1,121,72121,CHICAGO,60636-3811,-87.6652607,41.76019146,72,Lake,121,17031672000,4064,0.007135827,2nd,31,16,17,RANDOLPH
4/15/2017,17XX W 18TH PL,190,2.2,1.3,190,1.71941E+13,212,141,3000,77,2,4,2,2,7,4,3,3,2,,2,0,0,3,0,3300,2,2,1,70500,241910,-87.66887069,41.85657793,,0,122,2,212,,0,1.176533243,0,141,77141,CHICAGO,60608-2709,-87.66887069,41.85657793,77,West Chicago,141,17031310800,4219,0.113771036,7th,2,1,25,COOPER
8/14/2019,17XX N LOTUS ,190,3.8,1.1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2019,36XX N ARTESIAN AVE,190,3.2,3.3,190,1.32421E+13,203,82,3553,71,1,0,2,1,6,3,1,3,2,,2,3,1,1,0,1312,2,2,0,78160,515510,-87.68918577,41.94842745,,0,92,1,,,0,2.150030394,1,82,7182,CHICAGO,60618-4707,-87.68918577,41.94842745,71,Jefferson,82,17031843700,2617,0.577760795,12th,11,6,47,BELL
3/14/2022,37XX N NORA AVE ,180,11,1.7,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,22XX W LELAND AVE,180,36,21,180,1.41811E+13,206,41,3690,73,2,0,2,2,7,3,1,1,2,1,2,3,2,3,0,2229,2,2,0,177120,904130,-87.68506171,41.96710775,,0,110,1,,,0,1.78448849,1,41,7341,CHICAGO,60625-2006,-87.68506171,41.96710775,73,Lake View,41,17031040600,2514,0.809864757,10th,13,7,47,MCPHERSON
7/2/2019,89XX S CHAPPEL ,180,8.9,3.5,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2019,15XX E 76TH PL,180,6.3,0.5,180,2.02642E+13,202,70,3125,70,1,0,2,1,5,2,1,1,2,,2,1,2,1,0,968,2,2,0,34370,95300,-87.58743903,41.75575803,,0,98,1,,,0,0.426507728,1,70,7070,CHICAGO,60619-2711,-87.58743903,41.75575803,70,Hyde Park,70,17031834200,4249,0.003765592,3rd,5,3,5,MADISON
5/8/2019,43XX S BERKELEY AVE,180,1.2,1,180,2.0023E+13,205,10,2976,70,2,0,2,2,6,3,1,1,2,,2,3,1,3,0,1974,2,2,0,50590,252800,-87.60096124,41.81629425,,0,125,1,,,0,0.859751539,1,10,7010,CHICAGO,60653-3602,-87.60096124,41.81629425,70,Hyde Park,10,17031390200,1656,0.18236715,3rd,25,13,4,ROBINSON
11/21/2020,16XX W ALBION AVE,170,10,1.9,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2019,51XX N NORDICA AVE,170,7,3.7,170,1.30731E+13,202,430,4600,71,1,0,2,1,4,2,1,1,2,,2,2,1,3,0,714,2,2,0,57500,186960,-87.80275681,41.97450988,,0,67,1,,,0,1.281334307,1,430,71430,CHICAGO,60656-3606,-87.80275681,41.97450988,71,Jefferson,430,17031100700,4700,0.797659574,9th,20,10,41,GARVY
6/15/2016,34XX N AVERS AVE,170,9.3,4.1,170,1.32331E+13,202,70,3750,71,1,0,1,1,4,2,2,3,2,,2,3,1,3,0,902,2,2,0,60000,194200,-87.7233142,41.94420606,,0,105,1,,,0,1.42539093,1,70,7170,CHICAGO,60618-5213,-87.7233142,41.94420606,71,Jefferson,70,17031831100,7891,0.330756558,8th,40,20,30,REILLY
6/28/2021,48XX S KEELER AVE,2.6,2.8,170,170,1.91021E+13,203,30,3780,72,1,0,2,1,6,3,1,1,2,,2,3,1,3,0,1366,2,2,0,37800,158390,-87.72873149,41.8043666,,0,90,1,,,0,0.507961568,1,30,7230,CHICAGO,60632-4111,-87.72873149,41.8043666,72,Lake,30,17031570300,5691,0.150061501,16th,1,1,14,EDWARDS
12/7/2021,87XX S WOOD ST,170,43,34,170,2.5062E+13,205,281,6250,72,2,0,1,1,7,4,1,3,2,,2,3,1,1,0,1944,2,2,0,46870,59600,-87.66824928,41.73465323,,0,126,1,,,0,0.552594588,1,281,72281,CHICAGO,60620-4817,-87.66824928,41.73465323,72,Lake,281,17031711300,1794,0.011148272,4th,35,18,21,FOSTER PARK
8/9/2019,10XX N MASSASOIT AVE,170,7.6,3.6,170,1.60541E+13,211,13,3750,77,2,0,1,1,6,4,2,3,2,,2,1,1,3,0,2160,2,2,0,31870,135970,-87.76886709,41.89989266,,0,100,2,211,,0,0.765245891,1,13,7713,CHICAGO,60651-2657,-87.76886709,41.89989266,77,West Chicago,13,17031251300,3934,0.035587189,1st,78,39,29,BRUNSON
8/18/2016,5XX W 43RD ST,170,3.7,4.9,170,2.00413E+13,278,52,3125,72,2,0,1,1,7,3,1,1,2,,2,0,0,3,0,2215,2,2,0,31250,342280,-87.64013654,41.81653853,,0,13,1,,,0,0.682676226,0,52,7252,CHICAGO,60609-2717,-87.64013654,41.81653853,72,Lake,52,17031842600,4125,0.523636364,11th,6,3,11,HENDRICKS
4/2/2019,58XX N BERNARD ,170,15,6,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2021,87XX S WOOD ST ,170,43,34,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,40XX N MAJOR ,23,170,14,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2019,126XX S HARVARD ,160,2.6,1.7,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2016,79XX S LA SALLE ST,160,1.7,1.5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2019,71XX S ARTESIAN AVE,160,5.2,2.6,160,1.92521E+13,202,150,3150,72,1,0,2,1,4,2,1,3,2,,2,0,0,3,0,546,2,2,0,25200,48280,-87.68480793,41.76409335,,0,96,1,,,0,0.487182664,0,150,72150,CHICAGO,60629-1426,-87.68480793,41.76409335,72,Lake,150,17031661000,5157,0.005235602,2nd,32,16,18,MCKAY
4/25/2019,90XX S HARPER ,150,3.3,2,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
